Par,Oportunidades,Porcentaje,Spread Promedio,Spread MÃ¡ximo,cryptocurrency
Kucoin-OKX,251866,25.047785174562577,3.863768455260404,30.56535775959156,BTC
Binance-Kucoin,245003,24.36526768648152,-10.111507830773864,28.276,BTC
Binance-OKX,222222,22.099723333286924,-8.290798889440664,48.50957279075006,BTC
Coinbase-Kucoin,121876,28.62766837041491,-0.2596681809246604,13.522935779816525,ETH
Binance-Coinbase,91051,21.38712981058328,0.2380985440715125,11.188678349242537,ETH
Coinbase-OKX,86730,20.37216250751653,-0.2468366988268975,12.256689510886035,ETH
Kucoin-OKX,50886,11.952702194828625,0.0154878125379025,10.509188721479225,ETH
Binance-Kucoin,48981,11.5052333884546,-0.032136610593636,9.215331610680447,ETH
Binance-OKX,9952,2.3376428141912204,-0.0186303670547996,5.7641459545214175,ETH
Coinbase-Kucoin,86098,21.20891139839193,0.0223792353363636,7.354295487435854,XRP
Binance-Coinbase,82348,20.285156865836356,-0.0111180179128071,6.508000000000003,XRP
Coinbase-OKX,81623,20.106564322875613,0.0240053907759689,8.318584070796453,XRP
Binance-Kucoin,15924,3.922631247043985,0.0084405101702141,5.885393883962293,XRP
Kucoin-OKX,14201,3.498196831152452,0.0020961416501627,7.258364696637582,XRP
Binance-OKX,2327,0.573220479268485,0.0099989576905434,5.957023477914836,XRP
